符合條件商品
資料日期：2025年 11月 25日
策略,	0100_NVIDIA概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
20	,"2417.TW","圓剛","35.55","1.28","153","245","0.05","0.09","-6.1","-7.62","-0.81","-2.16","1.28","1.28","-3.66","-10.57","-24.52","15.73","46","0","134.59","0","157","0","233","0.01","233","0.01","0","0","0","0","0","0","0","0","0","0","37","0","12","0","109","0","14","0","14","0","-15","-0","-22","-0","-54","-0","5","0","5","0","35.2","0","0","0","0","0","0","0","0","0","0","-5","-0","-7","-0","-103","-0","-337","-0.01","10","15","4450","0","28","3567","3583","-16","35.85","35.2","35.2","1.85","2.21","0.1","0.16","21.57","21.83","11.3","0.63","134.59","1.51","1.35","-0.03","0.62","-383",4
21	,"2395.TW","研華","285","-0.7","2797","3512","7.97","11.5","-5.76","-7.58","-0.94","-2.6","-0.7","1.42","-4.36","-13.24","-19.49","86.54","-452","-0.01","148.53","-0.02","-199","-0.01","-3036","-0.1","-3036","-0.1","-121","-0","-505","-0.02","-930","-0.03","-1015","-0.03","-1015","-0.03","-326","-0.01","-400","-0.01","-748","-0.02","-2255","-0.07","-2255","-0.07","209","0.01","304","0.01","582","0.02","1772","0.06","1772","0.06","287","0","0","84","0","122","0","162","0.01","162","0.01","84","0","61","0","34","0","-11","-0","87","3","2138","-2","18","9072","10487","-1415","289","283","287","2.12","3.28","0.32","0.41","19.41","20.97","0.99","0.84","148.53","1.83","1.66","-3.53","0.8","-2888",10
22	,"3231.TW","緯創","139.5","0.36","20989","36022.8","29.28","53.96","1.14","1.26","-1.01","-0.09","0.36","1.82","-3.46","-5.74","21.3","318.04","1600","0.01","162.63","-0.06","-7875","-0.03","-7429","-0.03","-7429","-0.03","-913","-0","-2235","-0.01","-3292","-0.01","-26329","-0.12","-26329","-0.12","-719","-0","-12504","-0.05","-7348","-0.03","-42607","-0.19","-42607","-0.19","347","0","2209","0.01","3273","0.01","3997","0.02","3997","0.02","141.5","49","0","466","0","918","0","-2162","-0.01","-2162","-0.01","-267","-0","-479","-0","-1095","-0","-8885","-0.04","1622","1777","54535","10","1748","198041","190495","7546","142.5","139","141.5","2.52","2.6","0.66","1.13","37.75","36.32","6.86","3.21","162.63","-0.12","-0.92","-24.68","0.58","33363",-148
23	,"3048.TW","益登","38.05","1.2","4948","8610.2","1.88","3.41","-1.61","0.07","-1.09","1.08","1.2","4.1","-0.52","-6.17","20.22","26.98","569","0.01","161.01","-0.01","596","0.01","-765","-0.01","-765","-0.01","0","0","0","0","0","0","0","0","0","0","-136","-0","-1568","-0.02","116","0","-871","-0.01","-871","-0.01","14","0","2262","0.03","181","0","1717","0.02","1717","0.02","38.25","-2","-0","-11","-0","8","0","-2","-0","-2","-0","-716","-0.01","-1473","-0.02","181","0","571","0.01","227","943","6317","20","196","11769","11747","22","38.9","37.2","38.25","4.57","5.09","2.02","3.52","54.06","53.38","10.32","3.1","161.01","-1.68","-2.16","-1.53","0.57","1145",13
24	,"6245.TW","立端","70.6","0.86","454","518.8","0.32","0.36","-5.82","-7.28","-1.12","-2.43","0.86","0.43","-4.34","-10.86","-21.38","14.66","197","0.01","143.85","0.01","312","0.02","-475","-0.02","-475","-0.02","0","0","0","0","-2","-0","-4","-0","-4","-0","-87","-0","-299","-0.01","-312","-0.02","-939","-0.05","-939","-0.05","139","0.01","329","0.02","342","0.02","1002","0.05","1002","0.05","70.3","1","0","-1","-0","-3","-0","-11","-0","-11","-0","9","0","-13","-0","-14","-0","-48","-0","14","4","2894","0","33","4026","4022","4","71","69.9","70.3","1.57","2.14","0.31","0.35","13.88","20.47","7.9","1.14","143.85","1.45","1.31","-0.04","0.88","183",11
25	,"3088.TW","艾訊","73.2","1.67","160","249.8","0.12","0.19","-5.28","-6.7","-1.27","-2.91","1.67","0.14","-5.91","-10.62","-17.57","10.78","54","0","123.94","-0","29","0","-466","-0.03","-466","-0.03","0","0","0","0","0","0","0","0","0","0","19","0","-46","-0","2","0","-387","-0.03","-387","-0.03","-13","-0","-17","-0","11","0","347","0.02","347","0.02","72.5","0","0","-1","-0","-1","-0","-4","-0","-4","-0","-5","-0","-44","-0","-60","-0","-72","-0","2","7","3207","-1","6","2248","2248","0","73.2","72","72.5","1.67","2.02","0.15","0.23","15.63","20.03","11.9","0.19","123.94","1.42","1.64","-0.07","0.64","-137",5
26	,"3515.TW","華擎","251","4.37","1293","1241.8","3.25","2.65","-8.72","-13.11","-1.38","-7.09","4.37","1.62","-13.6","-23.36","-11.93","12.35","-193","-0.04","144.32","-0.09","12","0","-1571","-0.32","-1571","-0.32","0","0","-13","-0","-1290","-0.26","-1660","-0.34","-1660","-0.34","30","0.01","-128","-0.03","-653","-0.13","-2285","-0.46","-2285","-0.46","-35","-0.01","104","0.02","523","0.11","1864","0.38","1864","0.38","247.5","16","0","12","0","10","0","-26","-0.01","-26","-0.01","-6","-0","46","0.01","90","0.02","140","0.03","91","95","1211","-7","30","2380","2361","19","258","244","247.5","5.74","4.46","1.05","1.01","36.89","43.08","3.92","2.48","144.32","4.39","5.72","0.59","1.04","-1068",-5
27	,"8234.TW","新漢","69.8","1.6","375","682","0.26","0.5","-8.34","-11.31","-1.4","-3.96","1.6","1.31","-10.63","-12.2","-38.23","14.12","14","0","127.12","0.02","765","0.04","978","0.05","978","0.05","0","0","0","0","0","0","0","0","0","0","-20","-0","168","0.01","422","0.02","377","0.02","377","0.02","13","0","-133","-0.01","-205","-0.01","-6","-0","-6","-0","70","1","0","-8","-0","-9","-0","-54","-0","-54","-0","3","0","-174","-0.01","-355","-0.02","-625","-0.03","46","42","5135","-1","53","6098","6069","29","70.4","69.4","70","1.44","2.39","0.27","0.48","25.07","32.35","14.54","1.03","127.12","2.97","2.56","-0.24","0.55","176",-43
28	,"2356.TW","英業達","41.05","0","8593","11009.4","3.53","5.05","-4.07","-4.64","-1.46","-2.05","0","0.49","-2.26","-12.66","-0.85","358.75","1160","0","153.09","0","4327","0","-5437","-0.01","-5437","-0.01","-2651","-0","-7236","-0.01","-11904","-0.01","-20580","-0.02","-20580","-0.02","-1586","-0","-2923","-0","-3873","-0","-15295","-0.02","-15295","-0.02","1478","0","2649","0","3337","0","14002","0.02","14002","0.02","41.4","100","0","947","0","1601","0","4175","0","4175","0","-205","-0","39","0","-166","-0","-37","-0","263","464","25141","-9","1565","204534","205414","-880","41.45","41","41.4","1.1","1.62","0.24","0.31","19.39","24.29","2.8","6.22","153.09","0.56","0.59","-1.52","0.78","4654",628
29	,"3711.TW","日月光投控","212","0.71","24000","34690.4","50.88","77.86","2.19","2.74","-1.94","-2.17","0.71","-1.4","-7.02","4.43","40.86","443.99","9204","0.04","159.67","0.1","45369","0.22","76953","0.37","76953","0.37","-8158","-0.04","-20207","-0.1","-33890","-0.16","-48994","-0.23","-48994","-0.23","-1421","-0.01","-7381","-0.04","-9933","-0.05","-15188","-0.07","-15188","-0.07","558","0","2523","0.01","4234","0.02","7500","0.04","7500","0.04","216.5","80","0","1121","0.01","1250","0.01","1762","0.01","1762","0.01","367","0","487","0","883","0","737","0","547","168","6594","6","477","134552","143850","-9298","218","209.5","216.5","4.06","3.64","0.54","0.78","27.9","29.66","0.59","7.23","159.67","-0.55","0.23","-26.98","0.69","9509",-311
