符合條件商品
資料日期：2025年 11月 25日
策略,	006_全部上市櫃計量排行
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)","10日融券增減(張)",成交量
20	,"2449.TW","京元電子","205","0.74","29202","53984.4","59.86","147.44","4.12","4.35","0.22","-0.3","0.74","3.54","-3.76","8.75","47.48","122.27","-7988","-0.13","165.14","-0.48","-44945","-0.75","-55675","-0.93","-55675","-0.93","4746","0.08","22858","0.38","45078","0.76","58533","0.98","58533","0.98","-1781","-0.03","-5841","-0.1","-3564","-0.06","-4785","-0.08","-4785","-0.08","350","0.01","2035","0.03","1809","0.03","6231","0.1","6231","0.1","210","75","0","370","0.01","-1772","-0.03","-2024","-0.03","-2024","-0.03","755","0.01","617","0.01","656","0.01","-1057","-0.02","1423","666","16496","144","1825","100800","115748","-14948","212","205","210","3.41","3.93","2.39","4.42","39.78","35.83","5.4","11.06","165.14","-0.23","0.52","-87.58","0.54","27451","318",29202
21	,"2357.TW","華碩","590","0.85","3906","4999.2","23.05","32.83","-6.85","-10.02","-0.52","-4.4","0.85","4.8","-10.74","-16.78","-7.09","74.28","-1541","-0.12","154.95","-0.17","-3467","-0.28","-14151","-1.12","-14151","-1.12","1236","0.1","1627","0.13","1390","0.11","297","0.02","297","0.02","-54","-0","-49","-0","-1328","-0.11","-10496","-0.83","-10496","-0.83","21","0","70","0.01","199","0.02","1103","0.09","1103","0.09","589","0","0","267","0.02","402","0.03","989","0.08","989","0.08","-29","-0","-54","-0","-19","-0","292","0.02","52","77","1567","12","47","30463","29336","1127","594","584","589","1.71","2.75","0.53","0.67","22.86","25.07","0.84","3","154.95","3.17","3.88","-9.79","0.78","7179","7",3906
22	,"1815.TW","富喬","78.5","-2.73","53592","82419.2","42.07","72.71","1.92","6.11","-4.73","-1.02","-2.73","-6.1","-5.42","9.18","11.19","52.49","-7374","-0.11","156.12","-0.34","-18632","-0.28","8238","0.12","8238","0.12","0","0","-628","-0.01","-672","-0.01","-623","-0.01","-623","-0.01","-8815","-0.13","-32315","-0.48","-21072","-0.32","-38839","-0.58","-38839","-0.58","9128","0.14","26682","0.4","33683","0.5","61274","0.92","61274","0.92","82.9","-536","-0.01","-1216","-0.02","-1148","-0.02","-3277","-0.05","-3277","-0.05","-625","-0.01","3562","0.05","395","0.01","-20051","-0.3","6747","7369","69145","0","0","26227","24805","1422","83.9","78.5","82.9","6.88","6.5","10.29","15.82","39.73","55.29","53.1","0","156.12","-4.2","-3.72","-30.64","0.65","-19538","-13187",53592
23	,"4989.TW","榮科","40.8","-2.39","21471","20814.8","8.76","9.61","2.42","4.7","-4.97","-3.77","-2.39","-4","-15.26","5.7","26.71","13.78","-3094","-0.09","150.99","-0.1","-1597","-0.05","1127","0.03","1127","0.03","0","0","0","0","0","0","0","0","0","0","-4296","-0.13","-7664","-0.23","-7335","-0.22","-17882","-0.53","-17882","-0.53","5104","0.15","9853","0.29","11438","0.34","23749","0.7","23749","0.7","42.6","0","0","50","0","100","0","100","0","100","0","474","0.01","434","0.01","699","0.02","1698","0.05","1337","863","13309","119","9382","4532","2621","1911","43.65","39.9","42.6","9.4","9.18","15.58","15.11","57.98","62.5","38.64","70.49","150.99","-2.28","-1.2","-0.85","1.03","2228","-1921",21471
24	,"2486.TW","一詮","93.8","4.34","16737","21766.6","15.7","21.56","9.67","11.92","2.83","4.26","4.34","-8.04","21.82","20.26","16.23","23.4","-2173","-0.09","173.36","-0.18","-4305","-0.17","15010","0.6","15010","0.6","0","0","0","0","0","0","0","0","0","0","-214","-0.01","-2606","-0.1","-4502","-0.18","15672","0.63","15672","0.63","-114","-0","4363","0.17","6181","0.25","-2673","-0.11","-2673","-0.11","91","87","0","-325","-0.01","-364","-0.01","257","0.01","257","0.01","2255","0.09","-288","-0.01","-1425","-0.06","4874","0.2","3014","759","27801","170","1210","22595","21982","613","95.5","89","91","7.3","8.44","7.15","9.3","63.58","64.88","47.53","4.35","173.36","-2.26","-1.44","-5.86","0.77","-1708","970",16737
25	,"3653.TW","健策","2595","-0.38","1394","1911.4","36.17","51.48","9.06","9.84","3.76","5.02","-0.38","4.22","17.42","19.86","34.11","14.55","-53","-0.09","178.16","-0.19","-416","-0.74","230","0.41","230","0.41","69","0.12","181","0.32","502","0.9","2197","3.92","2197","3.92","-66","-0.12","-138","-0.25","134","0.24","978","1.74","978","1.74","6","0.01","29","0.05","22","0.04","-37","-0.07","-37","-0.07","2675","2","0","15","0.03","61","0.11","-10","-0.02","-10","-0.02","27","0.05","-244","-0.44","29","0.05","-403","-0.72","165","138","2571","8","229","3769","3562","207","2690","2585","2675","4.06","4.17","0.98","1.34","46.63","43.78","7.2","8.91","178.16","-0.77","-1.26","-15.3","0.73","1403","154",1394
26	,"1519.TW","華城","681","-3.54","4211","6085.6","28.68","43.72","-1","3.71","-4.68","-1.13","-3.54","-3.68","-10.16","10.19","8.44","31.59","-371","-0.08","155.2","-0.3","-2610","-0.56","-2049","-0.44","-2049","-0.44","1","0","233","0.05","392","0.08","497","0.11","497","0.11","-641","-0.14","-1517","-0.33","-2359","-0.51","-2116","-0.46","-2116","-0.46","84","0.02","166","0.04","185","0.04","214","0.05","214","0.05","720","-54","-0.01","-85","-0.02","-62","-0.01","-176","-0.04","-176","-0.04","-20","-0","5","0","339","0.07","237","0.05","328","347","4039","-45","248","5073","5327","-254","721","677","720","6.5","7.79","1.33","1.93","46.19","48.24","5.11","6.14","155.2","-4.71","-3.55","-15.05","0.69","779","-87",4211
27	,"2408.TW","南亞科","143.5","0.35","195798","213475.8","280.97","314.56","13.61","19.17","-5.07","-2.6","0.35","-10.59","-12.77","10.38","200.21","309.86","-14538","-0.07","161.2","0.01","-21866","-0.1","-18725","-0.09","-18725","-0.09","-42","-0","1633","0.01","3364","0.02","13321","0.06","13321","0.06","-17122","-0.08","-16487","-0.08","-39167","-0.18","-47764","-0.22","-47764","-0.22","1795","0.01","3676","0.02","11156","0.05","16060","0.07","16060","0.07","153.5","1466","0.01","-584","-0","-2991","-0.01","-5648","-0.03","-5648","-0.03","13908","0.06","-4952","-0.02","3476","0.02","-5754","-0.03","21185","7266","131488","190","16864","96225","87803","8422","156","142","153.5","9.86","8.26","6.32","6.89","67.34","63.28","16.97","12.83","161.2","-5.56","-2.47","-33.59","0.92","37355","-5141",195798
28	,"3533.TW","嘉澤","1200","3","1041","1037","12.49","12.64","-8.34","-11.13","-0.75","-3.79","3","1.69","-7.34","-13.36","-17.53","11.25","-64","-0.07","147.44","0.63","658","0.7","2006","2.14","2006","2.14","-47","-0.05","-417","-0.44","-673","-0.72","-1358","-1.45","-1358","-1.45","-33","-0.04","-85","-0.09","-153","-0.16","-734","-0.78","-734","-0.78","11","0.01","36","0.04","55","0.06","167","0.18","167","0.18","1185","18","0.02","10","0.01","0","0","5","0.01","5","0.01","-4","-0","-37","-0.04","3","0","121","0.13","22","26","1074","0","11","3965","4569","-604","1215","1170","1185","3.85","3.71","0.93","0.92","24.02","27.81","3.82","1.02","147.44","2.79","3.04","-0.14","1","-271","1",1041
29	,"3406.TW","玉晶光","453","-1.31","1010","1747","4.58","8.43","3.53","4.41","1.04","2.52","-1.31","0.89","9.29","6.97","-2.05","11.27","-177","-0.07","172.67","0.06","1183","0.48","4790","1.92","4790","1.92","191","0.08","225","0.09","129","0.05","327","0.13","327","0.13","-61","-0.02","205","0.08","848","0.34","3766","1.51","3766","1.51","70","0.03","-62","-0.02","-322","-0.13","-1593","-0.64","-1593","-0.64","461.5","-8","-0","-35","-0.01","-30","-0.01","43","0.02","43","0.02","27","0.01","50","0.02","147","0.06","-203","-0.08","66","37","3244","-10","108","4405","4532","-127","462","448","461.5","3.12","2.91","0.9","1.55","43.56","43.44","11.51","3.33","172.67","-0.88","-1.48","-3.86","0.58","1100","16",1010
