符合條件商品
資料日期：2025年 11月 25日
策略,	0101_台積電概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
20	,"6208.TW","日揚","42.65","-1.61","6","39.6","0","0.02","-2.65","-4.95","0.68","-0.54","-1.61","4.02","-3.51","-2.96","-17.98","9.45","0","0","144.18","0","20","0","-68","-0","-68","-0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","-24","-0","-24","-0","0","0","-12","-0","-12","-0","-26","-0","-26","-0","43.4","0","0","0","0","1","0","1","0","1","0","0","0","-5","-0","14","0","34","0","0","0","812","-1","0","142","142","0","43.4","42.6","43.4","1.88","2.62","0.01","0.04","0","3.48","3.44","0","144.18","2.3","1.21","-0.02","0.15","16",0
21	,"3402.TW","漢科","113","2.26","182","197.6","0.21","0.21","-4.88","-7.26","0.67","-2.24","2.26","2.26","-1.31","-5.44","-19.86","7.3","32","0","147.44","0.01","148","0.02","78","0.01","78","0.01","0","0","0","0","-2","-0","-2","-0","-2","-0","12","0","28","0","46","0.01","-26","-0","-26","-0","-20","-0","-8","-0","-1","-0","50","0.01","50","0.01","112.5","5","0","-8","-0","-7","-0","-24","-0","-24","-0","-6","-0","-30","-0","-67","-0.01","-56","-0.01","11","17","1599","0","4","1665","1657","8","114","112","112.5","1.79","1.91","0.25","0.27","25.27","25.16","8.76","0.25","147.44","2.38","2.91","-0.01","0.92","259",-4
22	,"8091.TW","翔名","111.5","2.76","66","124","0.07","0.13","0.16","-0.53","0.64","-0.87","2.76","-0.89","1.83","1.83","2.76","5.28","20","0","165.44","0","44","0.01","544","0.11","544","0.11","0","0","0","0","-1","-0","-1","-0","-1","-0","8","0","-22","-0","-41","-0.01","286","0.06","286","0.06","-8","-0","50","0.01","123","0.03","-183","-0.04","-183","-0.04","110.5","-3","-0","-9","-0","-10","-0","-2","-0","-2","-0","21","0","-22","-0","-59","-0.01","-58","-0.01","22","1","522","0","0","622","488","134","111.5","110.5","110.5","0.9","2.29","0.12","0.24","4.55","17.89","3.96","0","165.44","0.69","1.51","-0.06","0.53","55",0
23	,"2404.TW","漢唐","780","1.3","1192","1732","9.3","13.28","-6.37","-7.92","0.61","-1.12","1.3","2.36","4.56","-8.45","-34.45","19.06","270","0.11","156.92","0.32","1170","0.48","-447","-0.18","-447","-0.18","-286","-0.12","-860","-0.35","-1595","-0.65","-1963","-0.8","-1963","-0.8","-36","-0.01","-244","-0.1","-316","-0.13","-2292","-0.94","-2292","-0.94","7","0","66","0.03","72","0.03","260","0.11","260","0.11","785","14","0.01","-17","-0.01","21","0.01","61","0.02","61","0.02","-12","-0","-81","-0.03","-85","-0.03","118","0.05","39","51","1919","3","47","14556","12909","1647","790","773","785","2.2","3.34","0.63","0.91","38.09","38.64","4.03","2.45","156.92","1.56","1.73","-3.99","0.69","-196",-5
24	,"8028.TW","昇陽半導體","154","1.65","2415","2557.2","3.72","3.78","-4.65","-7.73","0.59","-2.87","1.65","3.01","-2.84","-9.41","1.32","17.49","352","0.03","149.69","0.01","957","0.08","1634","0.14","1634","0.14","-10","-0","-68","-0.01","-408","-0.04","-1106","-0.1","-1106","-0.1","63","0.01","266","0.02","310","0.03","-918","-0.08","-918","-0.08","-15","-0","15","0","307","0.03","1781","0.16","1781","0.16","154.5","26","0","37","0","8","0","-185","-0.02","-185","-0.02","-181","-0.02","-242","-0.02","-580","-0.05","-990","-0.09","146","324","9308","-29","1862","17691","17703","-12","156","153","154.5","1.96","2.92","1.4","1.48","38.84","37.18","21.28","20","149.69","3.08","3.46","-0.06","0.94","-734",-734
25	,"3532.TW","台勝科","90","3.81","799","814.4","0.72","0.66","-3","-6.57","0.53","-3.18","3.81","1.69","-3.02","-14.69","6.26","38.78","9","0","146.84","0","351","0.01","466","0.01","466","0.01","0","0","0","0","-3","-0","-3","-0","-3","-0","42","0","-20","-0","12","0","-130","-0","-130","-0","-110","-0","-25","-0","-57","-0","295","0.01","295","0.01","87.8","34","0","38","0","40","0","-21","-0","-21","-0","100","0","53","0","-158","-0","-419","-0.01","148","47","3370","12","61","6246","6267","-21","90.2","87.4","87.8","3.2","3.09","0.21","0.21","28.79","35.77","3.48","1.81","146.84","3.57","3.71","0.06","0.98","197",18
26	,"1711.TW","永光","17.9","3.17","2310","1937.4","0.41","0.31","-3.46","-5.68","0.13","-3.35","3.17","0","-3.76","-7.49","-2.19","54.78","571","0","150.97","0","-27","-0","399","0","399","0","0","0","0","0","0","0","0","0","0","0","277","0","178","0","-104","-0","-1120","-0","-1120","-0","-384","-0","-37","-0","338","0","1476","0","1476","0","17.55","1","0","-26","-0","-32","-0","-57","-0","-57","-0","-195","-0","-320","-0","-452","-0","-1480","-0","71","266","12292","0","39","31710","31499","211","18.15","17.55","17.55","3.42","3.22","0.42","0.35","33.16","30.36","8.98","0.32","150.97","2.22","3.48","0.11","1.19","-647",10
27	,"5347.TW","世界","90.1","2.39","5000","6092.4","4.5","5.64","-3.13","-5.02","0.06","-2.2","2.39","0.56","-2.28","-9.54","-2.59","186.74","270","0","152.08","-0","-1181","-0.01","-5131","-0.02","-5131","-0.02","-983","-0","-2873","-0.01","-4408","-0.02","-8784","-0.04","-8784","-0.04","597","0","-1191","-0.01","-2913","-0.01","-7320","-0.04","-7320","-0.04","-424","-0","1354","0.01","2885","0.01","6780","0.03","6780","0.03","89","-3","-0","-97","-0","-175","-0","-77","-0","-77","-0","-35","-0","-50","-0","-218","-0","-898","-0","140","175","5609","0","139","54233","53989","244","90.3","88.8","89","1.69","2.2","0.27","0.33","22.2","27.07","1.2","2.48","152.08","1.89","2.26","-1.14","0.82","7222",-288
28	,"1773.TW","勝一","134.5","0.37","101","259.8","0.14","0.38","-3.13","-4.29","-0.37","-2.39","0.37","0.75","-3.93","-3.24","-1.1","30","-35","-0","155.97","0","26","0","105","0","105","0","0","0","0","0","0","0","0","0","0","0","-18","-0","-6","-0","-121","-0.01","-251","-0.01","-251","-0.01","26","0","34","0","156","0.01","373","0.02","373","0.02","134.5","0","0","-1","-0","-3","-0","-12","-0","-12","-0","1","0","-29","-0","-29","-0","-59","-0","1","0","656","0","0","4909","4957","-48","136","134","134.5","1.49","1.89","0.03","0.09","11.88","20.95","0.87","0","155.97","1.16","2.03","-0.25","0.39","-126",-1
29	,"3583.TW","辛耘","309.5","1.81","206","290","0.64","0.9","-7.22","-9.27","-0.49","-2.65","1.81","3.17","-5.06","-11.95","-19.19","8.03","45","0.02","139.07","0.01","78","0.03","379","0.15","379","0.15","0","0","0","0","0","0","-242","-0.09","-242","-0.09","18","0.01","-6","-0","15","0.01","-143","-0.06","-143","-0.06","-8","-0","43","0.02","45","0.02","280","0.11","280","0.11","310","1","0","-2","-0","-4","-0","-49","-0.02","-49","-0.02","-9","-0","20","0.01","11","0","-29","-0.01","12","21","2594","-3","4","3553","3519","34","312.5","309.5","310","0.97","1.82","0.26","0.36","36.89","36.64","12.92","0.15","139.07","2.05","2.16","-0.26","0.71","-434",-18
